 Radioactive Decay Experiment Sep 30, 2021 2:05 PM
Sample Number	Number of Counts
1	0
2	1
3	0
4	0
5	3
6	0
7	2
8	2
9	0
10	3
11	2
12	0
13	1
14	2
15	2
16	2
17	0
18	0
19	0
20	2
21	1
22	2
23	2
24	0
25	0
26	0
27	0
28	2
29	0
30	1
31	0
32	2
33	1
34	3
35	2
36	1
37	2
38	1
39	1
40	1
41	0
42	0
43	3
44	0
45	1
46	1
47	1
48	1
49	1
50	2
51	0
52	1
53	0
54	0
55	2
56	0
57	2
58	0
59	0
60	1
61	1
62	1
63	1
64	0
65	0
66	2
67	0
68	0
69	0
70	0
71	3
72	3
73	2
74	0
75	2
76	4
77	2
78	0
79	0
80	1
81	1
82	3
83	1
84	1
85	0
86	2
87	1
88	3
89	0
90	2
91	1
92	1
93	2
94	0
95	1
96	1
97	0
98	1
99	1
100	0
