 Radioactive Decay Experiment Sep 30, 2021 1:53 PM
Sample Number	Number of Counts
1	82
2	75
3	68
4	77
5	97
6	93
7	89
8	85
9	83
10	107
11	87
12	86
13	92
14	79
15	85
16	85
17	77
18	76
19	93
20	92
21	73
22	86
23	91
24	101
25	96
26	104
27	76
28	97
29	103
30	77
31	85
32	91
33	104
34	98
35	88
36	93
37	85
38	91
39	79
40	90
41	87
42	82
43	80
44	86
45	94
46	80
47	96
48	77
49	110
50	104
51	86
52	80
53	89
54	102
55	85
56	85
57	85
58	107
59	102
60	85
61	84
62	104
63	82
64	96
65	72
66	89
67	97
68	89
69	83
70	96
71	85
72	101
73	93
74	96
75	85
76	84
77	96
78	101
79	80
80	101
81	85
82	67
83	66
84	96
85	89
86	89
87	95
88	94
89	71
90	95
91	93
92	82
93	71
94	81
95	103
96	97
97	113
98	112
99	72
100	91
